Data,Produto,Consumo,Estoque,Adquiridos
2018-01-01,Produto_1,0.0,21682.0,0.0
2018-01-02,Produto_1,-214.0,21468.0,0.0
2018-01-03,Produto_1,-403.0,21065.0,0.0
2018-01-04,Produto_1,-330.0,20735.0,0.0
2018-01-05,Produto_1,-289.0,20446.0,0.0
2018-01-08,Produto_1,-257.0,20189.0,0.0
2018-01-09,Produto_1,-321.0,19868.0,0.0
2018-01-10,Produto_1,-474.0,19394.0,0.0
2018-01-11,Produto_1,-410.0,18984.0,0.0
2018-01-12,Produto_1,-406.0,18578.0,0.0
2018-01-15,Produto_1,-557.0,18021.0,0.0
2018-01-16,Produto_1,-380.0,17641.0,0.0
2018-01-17,Produto_1,-266.0,17375.0,0.0
2018-01-18,Produto_1,-330.0,17045.0,0.0
2018-01-19,Produto_1,-525.0,16520.0,0.0
2018-01-22,Produto_1,-504.0,16016.0,0.0
2018-01-23,Produto_1,-392.0,15624.0,0.0
2018-01-24,Produto_1,-280.0,15344.0,0.0
2018-01-25,Produto_1,-510.0,14834.0,0.0
2018-01-26,Produto_1,-281.0,14553.0,0.0
2018-01-29,Produto_1,-268.0,14285.0,0.0
2018-01-30,Produto_1,-229.0,14056.0,0.0
2018-01-31,Produto_1,-211.0,13845.0,0.0
2018-02-01,Produto_1,-580.0,13265.0,0.0
2018-02-02,Produto_1,-420.0,12845.0,0.0
2018-02-05,Produto_1,-359.0,12486.0,0.0
2018-02-06,Produto_1,-685.0,11801.0,0.0
2018-02-07,Produto_1,-519.0,11282.0,0.0
2018-02-08,Produto_1,-204.0,11078.0,0.0
2018-02-09,Produto_1,-384.0,10694.0,0.0
2018-02-14,Produto_1,-364.0,10330.0,0.0
2018-02-15,Produto_1,-444.0,9886.0,0.0
2018-02-16,Produto_1,-589.0,9297.0,0.0
2018-02-19,Produto_1,-445.0,8852.0,0.0
2018-02-20,Produto_1,-514.0,8338.0,0.0
2018-02-21,Produto_1,-303.0,8035.0,0.0
2018-02-22,Produto_1,-270.0,7765.0,0.0
2018-02-23,Produto_1,-369.0,7396.0,0.0
2018-02-26,Produto_1,-241.0,7155.0,0.0
2018-02-27,Produto_1,-406.0,6749.0,0.0
2018-02-28,Produto_1,-550.0,6199.0,0.0
2018-03-01,Produto_1,-435.0,5764.0,0.0
2018-03-02,Produto_1,-202.0,5562.0,0.0
2018-03-05,Produto_1,-325.0,5237.0,0.0
2018-03-06,Produto_1,-730.0,4507.0,0.0
2018-03-07,Produto_1,-250.0,4257.0,0.0
2018-03-08,Produto_1,-151.0,4106.0,0.0
2018-03-09,Produto_1,-390.0,3716.0,0.0
2018-03-12,Produto_1,-412.0,3304.0,0.0
2018-03-13,Produto_1,-283.0,3021.0,0.0
2018-03-14,Produto_1,-227.0,2794.0,0.0
2018-03-15,Produto_1,-134.0,2660.0,0.0
2018-03-16,Produto_1,-251.0,2409.0,0.0
2018-03-19,Produto_1,-351.0,2058.0,0.0
2018-03-20,Produto_1,-238.0,1820.0,0.0
2018-03-21,Produto_1,-513.0,1307.0,0.0
2018-03-22,Produto_1,-334.0,973.0,0.0
2018-03-23,Produto_1,-306.0,667.0,0.0
2018-03-26,Produto_1,-346.0,16321.0,16000.0
2018-03-27,Produto_1,-282.0,16039.0,0.0
2018-03-28,Produto_1,-492.0,15547.0,0.0
2018-04-02,Produto_1,-405.0,15142.0,0.0
2018-04-03,Produto_1,-385.0,14757.0,0.0
2018-04-04,Produto_1,-218.0,14539.0,0.0
2018-04-05,Produto_1,-219.0,14320.0,0.0
2018-04-06,Produto_1,-206.0,14114.0,0.0
2018-04-10,Produto_1,-268.0,13846.0,0.0
2018-04-11,Produto_1,-300.0,13546.0,0.0
2018-04-12,Produto_1,-230.0,13316.0,0.0
2018-04-13,Produto_1,-279.0,13037.0,0.0
2018-04-16,Produto_1,-531.0,12506.0,0.0
2018-04-17,Produto_1,-253.0,12253.0,0.0
2018-04-18,Produto_1,-152.0,12101.0,0.0
2018-04-19,Produto_1,-793.0,11308.0,0.0
2018-04-20,Produto_1,-485.0,10823.0,0.0
2018-04-23,Produto_1,-202.0,10621.0,0.0
2018-04-24,Produto_1,-285.0,10336.0,0.0
2018-04-25,Produto_1,-195.0,10141.0,0.0
2018-04-26,Produto_1,-302.0,9839.0,0.0
2018-04-27,Produto_1,-417.0,9422.0,0.0
2018-05-02,Produto_1,-314.0,9108.0,0.0
2018-05-03,Produto_1,-551.0,8557.0,0.0
2018-05-04,Produto_1,-318.0,8239.0,0.0
2018-05-07,Produto_1,-454.0,7785.0,0.0
2018-05-08,Produto_1,-306.0,7479.0,0.0
2018-05-09,Produto_1,-287.0,7192.0,0.0
2018-05-10,Produto_1,-325.0,6867.0,0.0
2018-05-11,Produto_1,-218.0,6649.0,0.0
2018-05-14,Produto_1,-317.0,6332.0,0.0
2018-05-15,Produto_1,-520.0,5812.0,0.0
2018-05-16,Produto_1,-165.0,5647.0,0.0
2018-05-17,Produto_1,-281.0,5366.0,0.0
2018-05-18,Produto_1,-364.0,5002.0,0.0
2018-05-21,Produto_1,-200.0,4802.0,0.0
2018-05-22,Produto_1,-267.0,4535.0,0.0
2018-05-23,Produto_1,-268.0,4267.0,0.0
2018-05-24,Produto_1,-397.0,3870.0,0.0
2018-05-25,Produto_1,-277.0,3593.0,0.0
2018-05-28,Produto_1,-205.0,18388.0,15000.0
2018-05-29,Produto_1,-249.0,18139.0,0.0
2018-05-30,Produto_1,-209.0,17930.0,0.0
2018-06-04,Produto_1,-454.0,17476.0,0.0
2018-06-05,Produto_1,-685.0,16791.0,0.0
2018-06-06,Produto_1,-285.0,16506.0,0.0
2018-06-07,Produto_1,-191.0,16315.0,0.0
2018-06-08,Produto_1,-207.0,16108.0,0.0
2018-06-11,Produto_1,-269.0,15839.0,0.0
2018-06-12,Produto_1,-278.0,15561.0,0.0
2018-06-13,Produto_1,-203.0,15358.0,0.0
2018-06-14,Produto_1,-210.0,15148.0,0.0
2018-06-15,Produto_1,-416.0,14732.0,0.0
2018-06-18,Produto_1,-268.0,14464.0,0.0
2018-06-19,Produto_1,-312.0,14152.0,0.0
2018-06-20,Produto_1,-380.0,13772.0,0.0
2018-06-21,Produto_1,-172.0,13600.0,0.0
2018-06-22,Produto_1,-179.0,13421.0,0.0
2018-06-25,Produto_1,-232.0,13189.0,0.0
2018-06-26,Produto_1,-320.0,12869.0,0.0
2018-06-27,Produto_1,-97.0,12772.0,0.0
2018-06-28,Produto_1,-384.0,12388.0,0.0
2018-06-29,Produto_1,-329.0,12059.0,0.0
2018-07-02,Produto_1,-360.0,11699.0,0.0
2018-07-03,Produto_1,-824.0,10875.0,0.0
2018-07-04,Produto_1,-299.0,10576.0,0.0
2018-07-05,Produto_1,-261.0,10315.0,0.0
2018-07-06,Produto_1,-75.0,10240.0,0.0
2018-07-10,Produto_1,-366.0,9874.0,0.0
2018-07-11,Produto_1,-322.0,9552.0,0.0
2018-07-12,Produto_1,-240.0,9312.0,0.0
2018-07-13,Produto_1,-331.0,8977.0,0.0
2018-07-16,Produto_1,-294.0,8683.0,0.0
2018-07-17,Produto_1,-247.0,8436.0,0.0
2018-07-18,Produto_1,-400.0,8036.0,0.0
2018-07-19,Produto_1,-399.0,7637.0,0.0
2018-07-20,Produto_1,-239.0,7398.0,0.0
2018-07-23,Produto_1,-220.0,7178.0,0.0
2018-07-24,Produto_1,-209.0,6969.0,0.0
2018-07-25,Produto_1,-726.0,6243.0,0.0
2018-07-26,Produto_1,-242.0,6001.0,0.0
2018-07-27,Produto_1,-360.0,5641.0,0.0
2018-07-30,Produto_1,-416.0,5225.0,0.0
2018-07-31,Produto_1,-461.0,4764.0,0.0
2018-08-01,Produto_1,-395.0,4369.0,0.0
2018-08-02,Produto_1,-368.0,4001.0,0.0
2018-08-03,Produto_1,-199.0,3802.0,0.0
2018-08-06,Produto_1,-265.0,3537.0,0.0
2018-08-07,Produto_1,-171.0,3366.0,0.0
2018-08-08,Produto_1,-321.0,3045.0,0.0
2018-08-09,Produto_1,-262.0,2783.0,0.0
2018-08-10,Produto_1,-275.0,2508.0,0.0
2018-08-13,Produto_1,-241.0,2267.0,0.0
2018-08-14,Produto_1,-309.0,1958.0,0.0
2018-08-15,Produto_1,-217.0,1741.0,0.0
2018-08-16,Produto_1,-155.0,1586.0,0.0
2018-08-17,Produto_1,-273.0,1313.0,0.0
2018-08-20,Produto_1,-371.0,942.0,0.0
2018-08-21,Produto_1,-276.0,666.0,0.0
2018-08-22,Produto_1,-209.0,15457.0,15000.0
2018-08-23,Produto_1,-235.0,15222.0,0.0
2018-08-24,Produto_1,-153.0,15069.0,0.0
2018-08-27,Produto_1,-233.0,14836.0,0.0
2018-08-28,Produto_1,-288.0,14548.0,0.0
2018-08-29,Produto_1,-455.0,14093.0,0.0
2018-08-30,Produto_1,-246.0,13847.0,0.0
2018-08-31,Produto_1,-98.0,13749.0,0.0
2018-09-03,Produto_1,-281.0,13468.0,0.0
2018-09-04,Produto_1,-629.0,12839.0,0.0
2018-09-05,Produto_1,-179.0,12660.0,0.0
2018-09-06,Produto_1,-191.0,12469.0,0.0
2018-09-10,Produto_1,-518.0,11951.0,0.0
2018-09-11,Produto_1,-259.0,11692.0,0.0
