Data,Produto,Consumo,Estoque,Adquiridos
2008-02-25,Produto_1,0.0,15008.0,0.0
2008-02-26,Produto_1,-312.0,14696.0,0.0
2008-02-27,Produto_1,-478.0,14218.0,0.0
2008-02-28,Produto_1,-590.0,13628.0,0.0
2008-02-29,Produto_1,-447.0,13181.0,0.0
2008-03-03,Produto_1,-508.0,12673.0,0.0
2008-03-04,Produto_1,-507.0,12166.0,0.0
2008-03-05,Produto_1,-407.0,11759.0,0.0
2008-03-06,Produto_1,-578.0,11181.0,0.0
2008-03-07,Produto_1,-505.0,10676.0,0.0
2008-03-10,Produto_1,-416.0,10260.0,0.0
2008-03-11,Produto_1,-426.0,9834.0,0.0
2008-03-12,Produto_1,-406.0,9428.0,0.0
2008-03-13,Produto_1,-170.0,9258.0,0.0
2008-03-14,Produto_1,-396.0,8862.0,0.0
2008-03-17,Produto_1,-301.0,8561.0,0.0
2008-03-18,Produto_1,-714.0,7847.0,0.0
2008-03-19,Produto_1,-844.0,7003.0,0.0
2008-03-24,Produto_1,-937.0,6066.0,0.0
2008-03-25,Produto_1,-874.0,5192.0,0.0
2008-03-26,Produto_1,-456.0,4736.0,0.0
2008-03-27,Produto_1,-482.0,4254.0,0.0
2008-03-28,Produto_1,-776.0,3478.0,0.0
2008-03-31,Produto_1,-422.0,3056.0,0.0
2008-04-01,Produto_1,-414.0,2642.0,0.0
2008-04-02,Produto_1,-538.0,2104.0,0.0
2008-04-03,Produto_1,-413.0,1691.0,0.0
2008-04-04,Produto_1,-585.0,1106.0,0.0
2008-04-07,Produto_1,-815.0,20291.0,20000.0
2008-04-08,Produto_1,-709.0,19582.0,0.0
2008-04-10,Produto_1,-954.0,18628.0,0.0
2008-04-11,Produto_1,-589.0,18039.0,0.0
2008-04-14,Produto_1,-669.0,17370.0,0.0
2008-04-15,Produto_1,-748.0,16622.0,0.0
2008-04-16,Produto_1,-455.0,16167.0,0.0
2008-04-17,Produto_1,-293.0,15874.0,0.0
2008-04-18,Produto_1,-426.0,15448.0,0.0
2008-04-22,Produto_1,-523.0,14925.0,0.0
2008-04-23,Produto_1,-802.0,14123.0,0.0
2008-04-24,Produto_1,-872.0,13251.0,0.0
2008-04-25,Produto_1,-286.0,12965.0,0.0
2008-04-28,Produto_1,-672.0,12293.0,0.0
2008-04-29,Produto_1,-805.0,11488.0,0.0
2008-04-30,Produto_1,-343.0,11145.0,0.0
2008-05-05,Produto_1,-423.0,10722.0,0.0
2008-05-06,Produto_1,-434.0,10288.0,0.0
2008-05-07,Produto_1,-634.0,9654.0,0.0
2008-05-08,Produto_1,-1127.0,8527.0,0.0
2008-05-09,Produto_1,-344.0,8183.0,0.0
2008-05-12,Produto_1,-379.0,7804.0,0.0
2008-05-13,Produto_1,-343.0,7461.0,0.0
2008-05-14,Produto_1,-1042.0,6419.0,0.0
2008-05-15,Produto_1,-671.0,5748.0,0.0
2008-05-16,Produto_1,-667.0,5081.0,0.0
2008-05-19,Produto_1,-379.0,4702.0,0.0
2008-05-20,Produto_1,-810.0,3892.0,0.0
2008-05-21,Produto_1,-426.0,3466.0,0.0
2008-05-23,Produto_1,-323.0,3143.0,0.0
2008-05-26,Produto_1,-564.0,2579.0,0.0
2008-05-27,Produto_1,-475.0,2104.0,0.0
2008-05-28,Produto_1,-516.0,1588.0,0.0
2008-05-29,Produto_1,-548.0,1040.0,0.0
2008-05-30,Produto_1,-558.0,10482.0,10000.0
2008-06-02,Produto_1,-360.0,10122.0,0.0
2008-06-03,Produto_1,-491.0,9631.0,0.0
2008-06-04,Produto_1,-502.0,9129.0,0.0
2008-06-05,Produto_1,-571.0,8558.0,0.0
2008-06-06,Produto_1,-365.0,8193.0,0.0
2008-06-09,Produto_1,-347.0,7846.0,0.0
2008-06-10,Produto_1,-431.0,7415.0,0.0
2008-06-11,Produto_1,-782.0,6633.0,0.0
2008-06-12,Produto_1,-301.0,6332.0,0.0
2008-06-13,Produto_1,-522.0,5810.0,0.0
2008-06-16,Produto_1,-559.0,5251.0,0.0
2008-06-17,Produto_1,-670.0,4581.0,0.0
