Data,Produto,Consumo,Estoque,Adquiridos
2010-06-01,Produto_1,-320.0,8010.0,0.0
2010-06-01,Produto_2,-77.0,9058.0,0.0
2010-06-01,Produto_3,-59.0,4997.0,0.0
2010-06-01,Produto_4,-23.0,3129.0,0.0
2010-06-01,Produto_5,-115.0,8147.0,0.0
2010-06-01,Produto_6,-8.0,434.0,0.0
2010-06-02,Produto_1,-444.0,7566.0,0.0
2010-06-02,Produto_2,-68.0,8990.0,0.0
2010-06-02,Produto_3,-48.0,4949.0,0.0
2010-06-02,Produto_4,-29.0,3100.0,0.0
2010-06-02,Produto_5,-124.0,8023.0,0.0
2010-06-02,Produto_6,-17.0,417.0,0.0
2010-06-07,Produto_1,-565.0,10001.0,3000.0
2010-06-07,Produto_2,-120.0,8870.0,0.0
2010-06-07,Produto_3,-117.0,4832.0,0.0
2010-06-07,Produto_4,-60.0,3040.0,0.0
2010-06-07,Produto_5,-107.0,7916.0,0.0
2010-06-07,Produto_6,-6.0,411.0,0.0
2010-06-08,Produto_1,-480.0,9521.0,0.0
2010-06-08,Produto_2,-70.0,8800.0,0.0
2010-06-08,Produto_3,-59.0,4773.0,0.0
2010-06-08,Produto_4,-31.0,3009.0,0.0
2010-06-08,Produto_5,-80.0,7836.0,0.0
2010-06-08,Produto_6,-13.0,398.0,0.0
2010-06-09,Produto_1,-505.0,9016.0,0.0
2010-06-09,Produto_2,-74.0,8726.0,0.0
2010-06-09,Produto_3,-69.0,4704.0,0.0
2010-06-09,Produto_4,-52.0,2957.0,0.0
2010-06-09,Produto_5,-81.0,7755.0,0.0
2010-06-09,Produto_6,-11.0,387.0,0.0
2010-06-10,Produto_1,-424.0,8592.0,0.0
2010-06-10,Produto_2,-58.0,8668.0,0.0
2010-06-10,Produto_3,-78.0,4626.0,0.0
2010-06-10,Produto_4,-59.0,2898.0,0.0
2010-06-10,Produto_5,-81.0,7674.0,0.0
2010-06-10,Produto_6,-10.0,377.0,0.0
2010-06-11,Produto_1,-684.0,7908.0,0.0
2010-06-11,Produto_2,-79.0,8589.0,0.0
2010-06-11,Produto_3,-52.0,4574.0,0.0
2010-06-11,Produto_4,-24.0,2874.0,0.0
2010-06-11,Produto_5,-76.0,7598.0,0.0
2010-06-11,Produto_6,-4.0,373.0,0.0
2010-06-14,Produto_1,-281.0,7627.0,0.0
2010-06-14,Produto_2,-88.0,8501.0,0.0
2010-06-14,Produto_3,-44.0,4530.0,0.0
2010-06-14,Produto_4,-41.0,2833.0,0.0
2010-06-14,Produto_5,-75.0,7523.0,0.0
2010-06-14,Produto_6,-2.0,371.0,0.0
2010-06-15,Produto_1,-242.0,27385.0,20000.0
2010-06-15,Produto_2,-54.0,8447.0,0.0
2010-06-15,Produto_3,-23.0,4507.0,0.0
2010-06-15,Produto_4,-23.0,2810.0,0.0
2010-06-15,Produto_5,-41.0,7482.0,0.0
2010-06-15,Produto_6,-7.0,364.0,0.0
2010-06-16,Produto_1,-585.0,26800.0,0.0
